name,description,url
"Buck 110 Folding Hunter's Knife","The world's #1-selling hunting knife in its original lock-back design.","https://www.llbean.com/llb/shop/38592?page=buck-110-folding-hunter-s-knife&bc=29-507929&feat=507929-gn0&csp=f"
"Kids' Explorer Sandals","We've combined the freedom of a sandal with the closed-toe protection of a shoe for the perfect water sandal.","https://www.llbean.com/llb/shop/120346?page=kids-explorer-sandals&bc=474-631&feat=631-gn1&csp=f"
"Maine Warden's Day Pack, Camo","This is the ultimate sportsman's day pack. Designed with the help of Maine State Game Wardens, this technical day pack will be your first choice for all your hunting, fishing and outdoor adventures.","https://www.llbean.com/llb/shop/121924?page=maine-warden-s-day-pack-camo&bc=29-507929&feat=507929-gn0&csp=f&attrvalue_0=mossy%20oak%20country"
"Toddlers' Animal Paws Slippers","These fur-ocious kids’ animal slippers will stir toddlers’ imaginations while the brushed polyester lining and cushioned insole keep their feet warm and comfortable, and the adorable paw print tread prevents slips.","https://www.llbean.com/llb/shop/38106?page=toddlers-animal-paws-slippers&bc=474-651-632&feat=632-gn3&csp=f&attrvalue_0=owl"
"Toddlers' Baby Bogs Boots, Classic Dino","Our Baby Bogs set the standard in toddlers’ handle boots, trusted by parents everywhere to keep little toes warm, dry and cozy.","https://www.llbean.com/llb/shop/118942?page=toddlers-baby-bogs-boots-classic-dino&bc=474-651-632&feat=632-gn3&csp=f&attrvalue_0=dark%20gray%20multi"
"L.L.Bean Continental Rucksack","Our legendary Continental Rucksack has been updated with new fabric, a narrower back panel and redesigned, easier-to-access pockets to create a more comfortable, cleaner-looking pack. And best of all, the price has been reduced.","https://www.llbean.com/llb/shop/116656?page=l-l-bean-continental-rucksack&bc=50-816-818&feat=818-gn2&csp=f"
"Allagash Pack Basket","Some gear doesn’t need improvement and that’s why this classic ice fishing pack basket sports a timeless look, but can still hold a full-day’s worth of fishing gear, lunch or whatever else you need.","https://www.llbean.com/llb/shop/40202?page=allagash-pack-basket&bc=29-507929&feat=507929-gn0&csp=f"
"Mountain Classic Cordura Pack","A thoughtfully designed travel backpack in tough-as-nails 1000D Cordura nylon.","https://www.llbean.com/llb/shop/121995?page=mountain-classic-cordura-pack&bc=50-816-818&feat=818-gn2&csp=f"
"Toddlers' Baby Bogs Boots, Classic Owls","Our Baby Bogs are trusted by parents everywhere to keep little toes warm, dry, cozy, and looking irresistibly cute.","https://www.llbean.com/llb/shop/118945?page=toddlers-baby-bogs-boots-classic-owls&bc=474-651-632&feat=632-gn3&csp=f&attrvalue_0=blue%20multi"
"Wicked Good Camp Moccasins","Unlike similar-looking imitations, our women's fur-lined moccasins are made of superior sheepskin to keep your feet warmer on chilly mornings.","https://www.llbean.com/llb/shop/83162?page=wicked-good-camp-moccasins&bc=474-630&feat=630-gn1&csp=f"
"Dragon Snow and Sand Mold","This fun dragon mold lets kids get creative at the beach and in the snow.","https://www.llbean.com/llb/shop/90431?page=dragon-snow-and-sand-mold&bc=905&feat=905-gn1&csp=a&attrvalue_0=green"
"Pencil Case","Keep pens, pencils, cords and cables organized with this rugged, water-resistant pencil case designed to match your L.L.Bean backpack.","https://www.llbean.com/llb/shop/83867?page=pencil-case&bc=50-816-818&feat=818-gn2&csp=f"
"Arches National Park Patch","As part of our partnership with the National Park Foundation, we are proud to offer the Arches National Park collectible patch, featuring Utah's iconic arch embroidered on a purple background.","https://www.llbean.com/llb/shop/122798?page=arches-national-park-patch&bc=50-816-818&feat=818-gn2&csp=f&attrvalue_0=multi"
"Women's Trail Model 4 Ventilated Hiking Shoes","Ultracomfortable lightweight hikers with a breathable mesh upper.","https://www.llbean.com/llb/shop/91621?page=women-s-trail-model-4-ventilated-hiking-shoes&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=dark%20stone/bayleaf"
"Women's Merrell Phaserbound Waterproof Hiking Boots","Protect your feet on those long treks - or comfortably take the scenic route home - with these waterproof Merrell backpacking boots. They'll provide superior comfort right out of the box.","https://www.llbean.com/llb/shop/122323?page=women-s-merrell-phaserbound-waterproof-hiking-boots&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=boulder"
"Men's Bogs Bozeman Boots, Tall","Uncompromisingly warm, these lightweight, durable Bogs Bozeman winter boots will keep you comfortable and dry in any conditions.","https://www.llbean.com/llb/shop/119698?page=men-s-bogs-bozeman-boots-tall&bc=29-507929-507932&feat=507932-gn1&csp=f&attrvalue_0=black"
"Women's Teva Mush Mandalyn Wedge Ola Sandals","Stylish, lightweight and crafted with exclusive Mush technology, these Teva wedge flip-flops have an extremely soft topsole and outsole that conform to your feet for outstanding cushioned comfort.","https://www.llbean.com/llb/shop/77939?page=women-s-teva-mush-mandalyn-wedge-ola-sandals&bc=474-630&feat=630-gn1&csp=f"
"Men's Cotton Poplin Field Shirt","Made of lightweight, breathable cloth that lets heat escape for cool comfort, our men's long sleeve poplin field shirt is a go-to when temperatures go up.","https://www.llbean.com/llb/shop/45888?page=men-s-cotton-poplin-field-shirt&bc=29-507929-507932&feat=507932-gn1&csp=f"
"Women's Monhegan Sandals","A rugged all-terrain sandal that's built to perform in the water, on the trail and anywhere in-between. With a custom fit and massaging footbed, they'll keep your feet comfortable every step of the way.","https://www.llbean.com/llb/shop/120152?page=women-s-monhegan-sandals&bc=474-630&feat=630-gn1&csp=f"
"Women's Wicked Good Clogs","Cozy and convenient, these women’s clog slippers are the only sheepskin clogs that can truly be called “Wicked Good.”","https://www.llbean.com/llb/shop/23102?page=women-s-wicked-good-clogs&bc=474-630&feat=630-gn1&csp=f"
"Women's Teva Hurricane XLT2 Sandals","Comfort prevails in the Teva Hurricane XLT2 sandal, combining lightweight cushioning, a custom fit and water-ready construction.","https://www.llbean.com/llb/shop/120381?page=women-s-teva-hurricane-xlt2-sandals&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=lago%20blue"
"Women's Hoka One One Hupana EM","Very lightweight, comfortable shoes perfect for an intense workout or a casual walk around town.","https://www.llbean.com/llb/shop/122437?page=women-s-hoka-one-one-hupana-em&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=dusty%20pink/mood%20indigo"
"Women's OluKai Paniolo Sandals","The full-grain leather on these gorgeous OluKai Paniolo flip-flops is adorned with a pattern inspired by Hawaiian western riding sandals. But don’t be fooled by their good looks—these summery shoes are just as comfortable as they are pretty.","https://www.llbean.com/llb/shop/87409?page=women-s-olukai-paniolo-sandals&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=natural/natural"
"Women's Teva Sirra Sandals","Designed for outdoor adventures of all kinds, the super-sleek, all-terrain Teva Sirra Sandal provides comfort and performance – in and out of the water.","https://www.llbean.com/llb/shop/120383?page=women-s-teva-sirra-sandals&bc=474-630&feat=630-gn1&csp=f"
"Myrna Sandals by Kork-Ease","These platform wedge sandals are beautifully crafted for exceptional comfort and timeless style.","https://www.llbean.com/llb/shop/122448?page=myrna-sandals-by-kork-ease&bc=474-630&feat=630-gn1&csp=f&attrvalue_0=golden%20sand"
